ACCESSION_NUMBER	OTHERMANAGER_SK	CIK	FORM13FFILENUMBER	CRDNUMBER	SECFILENUMBER	NAME
0001532155-25-000168	202989	0000812295	028-01343			JANUS HENDERSON INVESTORS US LLC
0001532155-25-000168	202992	0001333986	028-19172			Equitable Holdings, Inc.
0001532155-25-000168	202993	0000874779	028-02900			MELLON INVESTMENTS Corp
0001532155-25-000168	202953	0001109448	028-10562			ALLIANCEBERNSTEIN L.P.
0001532155-25-000168	202954	0000313028	028-01006			BARROW HANLEY MEWHINNEY & STRAUSS LLC
0001532155-25-000168	202955	0001086363	028-04293			BLACKROCK FINANCIAL MANAGEMENT INC/DE
0001532155-25-000168	202956	0001305227	028-12016			BlackRock Investment Management, LLC
0001532155-25-000168	202957	0001348883	028-11611			Clearbridge Investments, LLC
0001532155-25-000168	202958	0001217541	028-10648			DIAMOND HILL CAPITAL MANAGEMENT INC
0001532155-25-000168	202959	0001102578	028-05269			EARNEST PARTNERS LLC
0001532155-25-000168	202960	0000898420	028-03578			FRANKLIN ADVISERS INC
0001532155-25-000168	202961	0000807249	028-01887			GAMCO INVESTORS, INC. ET AL
0001532155-25-000168	202962	0001519418	028-14519			Horizon Kinetics LLC
0001532155-25-000168	202963	0000020430	028-00255			Invesco Advisers, Inc.
0001532155-25-000168	202964	0000019617	028-00694			JPMORGAN CHASE & CO
0001532155-25-000168	202965	0000728100	028-00413			LORD, ABBETT & CO. LLC
0001532155-25-000168	202966	0000912938	028-04968			MASSACHUSETTS FINANCIAL SERVICES CO /MA/
0001532155-25-000168	202967	0001230193	028-11866			MORGAN STANLEY INVESTMENT MANAGEMENT INC
0001532155-25-000168	202968	0001170789	028-12454			POST ADVISORY GROUP LLC
0001532155-25-000168	202969	0001257442	028-11338			SSGA FUNDS MANAGEMENT INC
0001532155-25-000168	202970	0000080255	028-00115			PRICE T ROWE ASSOCIATES INC /MD/
0001532155-25-000168	202971	0001177719	028-10220			WESTFIELD CAPITAL MANAGEMENT CO LP
0001532155-25-000168	202972	0000944388	028-11685			1832 Asset Management L.P.
0001532155-25-000168	202973	0000312348	028-00398			LOOMIS SAYLES & CO L P
0001532155-25-000168	202974	0000902219	028-04557			WELLINGTON MANAGEMENT GROUP LLP
0001532155-25-000168	202975	0001229262	028-10981			GOLDMAN SACHS ASSET MANAGEMENT, L.P.
0001532155-25-000168	202976	0001086431	028-04379			FEDERATED GLOBAL INVESTMENT MANAGEMENT CORP
0001532155-25-000168	202977	0001021642	028-05840			VAUGHAN NELSON INVESTMENT MANAGEMENT, L.P.
0001532155-25-000168	202978	0001455253	028-13328			HS Management Partners, LLC
0001532155-25-000168	202979	0001034524	028-03687			POLEN CAPITAL MANAGEMENT LLC
0001532155-25-000168	202980	0000829108	028-02204			Brandywine Global Investment Management, LLC
0001532155-25-000168	202981	0001207017	028-10469			LAZARD ASSET MANAGEMENT LLC
0001532155-25-000168	202982	0000052388	028-01091			AMERICAN CENTURY INVESTMENT MANAGEMENT INC
0001532155-25-000168	202983	0001385495	028-12282			FIAM LLC
0001532155-25-000168	202984	0000813917	028-02013			HARRIS ASSOCIATES L P
0001532155-25-000168	202985	0000314965	028-00096			CAPITAL GUARDIAN TRUST CO
0001532155-25-000168	202986	0001023875	028-06154			FRANKLIN MUTUAL ADVISERS LLC
0001532155-25-000168	202987	0001697233	028-17876			GQG Partners LLC
0001532155-25-000168	202988	0000860644	028-02634			Aristotle Capital Management, LLC
0001532155-25-000168	202991	0001163368	028-10952			PACIFIC INVESTMENT MANAGEMENT CO LLC
0000895421-25-000525	203012	0000895421	028-03432			MORGAN STANLEY
0000895421-25-000524	203061	0000895421	028-03432			MORGAN STANLEY
0000895421-25-000523	202447	0000895421	028-03432			MORGAN STANLEY
0000895421-25-000522	202209	0000895421	028-03432			MORGAN STANLEY
0001532155-25-000167	203102	0000807249	028-01887			GAMCO INVESTORS, INC. ET AL
0001532155-25-000167	203105	0000052388	028-01091			AMERICAN CENTURY INVESTMENT MANAGEMENT INC
0001532155-25-000167	203104	0001333986	028-19172			Equitable Holdings, Inc.
0001532155-25-000167	203103	0000312348	028-00398			LOOMIS SAYLES & CO L P
0001532155-25-000167	203101	0000201772	028-00878			ESSEX INVESTMENT MANAGEMENT CO LLC
0001532155-25-000167	203100	0000829108	028-02204			Brandywine Global Investment Management, LLC
0001532155-25-000167	203099	0001920120	028-22489			AXA Investment Managers US Inc.
0000895421-25-000521	202278	0000895421	028-03432			MORGAN STANLEY
